card_no,address,short_name,parent,batch_no,province,city,area
632522,青海省海南藏族自治州同德县,同德县,632500,1,青海,海南,同德县
632523,青海省海南藏族自治州贵德县,贵德县,632500,1,青海,海南,贵德县
632524,青海省海南藏族自治州兴海县,兴海县,632500,1,青海,海南,兴海县
632525,青海省海南藏族自治州贵南县,贵南县,632500,1,青海,海南,贵南县
632600,青海省果洛藏族自治州,果洛藏族自治州,630000,1,青海,果洛,果洛藏族自治州
632621,青海省果洛藏族自治州玛沁县,玛沁县,632600,1,青海,果洛,玛沁县
632622,青海省果洛藏族自治州班玛县,班玛县,632600,1,青海,果洛,班玛县
632623,青海省果洛藏族自治州甘德县,甘德县,632600,1,青海,果洛,甘德县
632624,青海省果洛藏族自治州达日县,达日县,632600,1,青海,果洛,达日县
632625,青海省果洛藏族自治州久治县,久治县,632600,1,青海,果洛,久治县
632626,青海省果洛藏族自治州玛多县,玛多县,632600,1,青海,果洛,玛多县
632700,青海省玉树藏族自治州,玉树藏族自治州,630000,1,青海,玉树,玉树藏族自治州
632701,青海省玉树藏族自治州玉树市,玉树市,632700,1,青海,玉树,玉树市
632721,青海省玉树藏族自治州玉树县,玉树藏族自治州,632700,1,青海,玉树,
632722,青海省玉树藏族自治州杂多县,杂多县,632700,1,青海,玉树,杂多县
632723,青海省玉树藏族自治州称多县,称多县,632700,1,青海,玉树,称多县
632724,青海省玉树藏族自治州治多县,治多县,632700,1,青海,玉树,治多县
632725,青海省玉树藏族自治州囊谦县,囊谦县,632700,1,青海,玉树,囊谦县
632726,青海省玉树藏族自治州曲麻莱县,曲麻莱县,632700,1,青海,玉树,曲麻莱县
632800,青海省海西蒙古族藏族自治州,海西蒙古族藏族自治州,630000,1,青海,海西,海西蒙古族藏族自治州
632801,青海省海西蒙古族藏族自治州格尔木市,格尔木市,632800,1,青海,海西,格尔木市
632802,青海省海西蒙古族藏族自治州德令哈市,德令哈市,632800,1,青海,海西,德令哈市
632803,青海省海西蒙古族藏族自治州冷湖区,海西蒙古族藏族自治州,632800,1,青海,海西,
632804,青海省海西蒙古族藏族自治州茫崖区,海西蒙古族藏族自治州,632800,1,青海,海西,
632821,青海省海西蒙古族藏族自治州乌兰县,乌兰县,632800,1,青海,海西,乌兰县
632822,青海省海西蒙古族藏族自治州都兰县,都兰县,632800,1,青海,海西,都兰县
632823,青海省海西蒙古族藏族自治州天峻县,天峻县,632800,1,青海,海西,天峻县
632824,青海省海西蒙古族藏族自治州大大柴旦行委,海西蒙古族藏族自治州,632800,1,青海,海西,
632825,青海省海西蒙古族藏族自治州冷湖镇,海西蒙古族藏族自治州,632800,1,青海,海西,
632826,青海省海西蒙古族藏族自治州茫崖行委,海西蒙古族藏族自治州,632800,1,青海,海西,
640000,宁夏回族自治区,宁夏回族自治区,ROOT,1,宁夏,宁夏,宁夏回族自治区
640100,宁夏回族自治区银川市,银川市,640000,1,宁夏,银川,银川市
640101,宁夏回族自治区银川市市辖区,市辖区,640100,1,宁夏,银川,市辖区
640102,宁夏回族自治区银川市城区(2002年撤销),银川市,640100,1,宁夏,银川,银川市
640103,宁夏回族自治区银川市新城区(2002年撤销),银川市,640100,1,宁夏,银川,银川市
640104,宁夏回族自治区银川市兴庆区,兴庆区,640100,1,宁夏,银川,兴庆区
640105,宁夏回族自治区银川市西夏区,西夏区,640100,1,宁夏,银川,西夏区
640106,宁夏回族自治区银川市金凤区,金凤区,640100,1,宁夏,银川,金凤区
640111,宁夏回族自治区银川市郊区(2002年撤销),银川市,640100,1,宁夏,银川,银川市
640120,银川市,银川市,640100,1,宁夏,银川,银川市
640121,宁夏回族自治区银川市永宁县,永宁县,640100,1,宁夏,银川,永宁县
640122,宁夏回族自治区银川市贺兰县,贺兰县,640100,1,宁夏,银川,贺兰县
640181,宁夏回族自治区银川市灵武市,灵武市,640100,1,宁夏,银川,灵武市
640200,宁夏回族自治区石嘴山市,石嘴山市,640000,1,宁夏,石嘴山,石嘴山市
640201,宁夏回族自治区石嘴山市市辖区,市辖区,640200,1,宁夏,石嘴山,市辖区
640202,宁夏回族自治区石嘴山市大武口区,大武口区,640200,1,宁夏,石嘴山,大武口区
640203,宁夏回族自治区石嘴山市石嘴山区(2003年撤销),石嘴山市,640200,1,宁夏,石嘴山,石嘴山市
640204,宁夏回族自治区石嘴山市石炭井区(2002年并入),石嘴山市,640200,1,宁夏,石嘴山,石嘴山市
640205,宁夏回族自治区石嘴山市惠农区,惠农区,640200,1,宁夏,石嘴山,惠农区
640211,宁夏回族自治区石嘴山市宁夏石(19820101--19921231),石嘴山市,640200,1,宁夏,石嘴山,石嘴山市
640220,石嘴山市,石嘴山市,640200,1,宁夏,石嘴山,石嘴山市
640221,宁夏回族自治区石嘴山市平罗县,平罗县,640200,1,宁夏,石嘴山,平罗县
640222,宁夏回族自治区石嘴山市陶乐县(2003年撤销),石嘴山市,640200,1,宁夏,石嘴山,石嘴山市
640223,宁夏回族自治区石嘴山市惠农县(2003年撤销),石嘴山市,640200,1,宁夏,石嘴山,石嘴山市
640300,宁夏回族自治区吴忠市,吴忠市,640000,1,宁夏,吴忠,吴忠市
640301,宁夏回族自治区吴忠市市辖区,市辖区,640300,1,宁夏,吴忠,市辖区
640302,宁夏回族自治区吴忠市利通区,利通区,640300,1,宁夏,吴忠,利通区
640303,宁夏回族自治区吴忠市红寺堡区,红寺堡区,640300,1,宁夏,吴忠,红寺堡区
640321,宁夏回族自治区吴忠市中卫县(2003年撤销),吴忠市,640300,1,宁夏,吴忠,吴忠市
640322,宁夏回族自治区吴忠市中宁县(2003年撤销),吴忠市,640300,1,宁夏,吴忠,吴忠市
640323,宁夏回族自治区吴忠市盐池县,盐池县,640300,1,宁夏,吴忠,盐池县
640324,宁夏回族自治区吴忠市同心县,同心县,640300,1,宁夏,吴忠,同心县
640325,宁夏吴忠市红寺堡县,吴忠市,640300,1,宁夏,吴忠,吴忠市
640381,宁夏回族自治区吴忠市青铜峡市,青铜峡市,640300,1,宁夏,吴忠,青铜峡市
640382,宁夏回族自治区吴忠市灵武市(2002年并入),吴忠市,640300,1,宁夏,吴忠,吴忠市
640400,宁夏回族自治区固原市,固原市,640000,1,宁夏,固原,固原市
640401,宁夏回族自治区固原市市辖区,市辖区,640400,1,宁夏,固原,市辖区
640402,宁夏回族自治区固原市原州区,原州区,640400,1,宁夏,固原,原州区
640421,宁夏回族自治区固原市海原县(2001年设立03取消)),固原市,640400,1,宁夏,固原,固原市
640422,宁夏回族自治区固原市西吉县,西吉县,640400,1,宁夏,固原,西吉县
640423,宁夏回族自治区固原市隆德县,隆德县,640400,1,宁夏,固原,隆德县
640424,宁夏回族自治区固原市泾源县,泾源县,640400,1,宁夏,固原,泾源县
640425,宁夏回族自治区固原市彭阳县,彭阳县,640400,1,宁夏,固原,彭阳县
640500,宁夏回族自治区中卫市,中卫市,640000,1,宁夏,中卫,中卫市
640501,宁夏回族自治区中卫市市辖区,市辖区,640500,1,宁夏,中卫,市辖区
640502,宁夏回族自治区中卫市沙坡头区,沙坡头区,640500,1,宁夏,中卫,沙坡头区
640521,宁夏回族自治区中卫市中宁县,中宁县,640500,1,宁夏,中卫,中宁县
640522,宁夏回族自治区中卫市海原县,海原县,640500,1,宁夏,中卫,海原县
642100,银南地区,银南地区,640000,1,宁夏,银南,
642101,宁夏回族自治区银南地区吴忠市,银南地区,640000,1,宁夏,银南,
642102,宁夏回族自治区银南地区青铜峡市,银南地区,640000,1,宁夏,银南,
642121,宁夏回族自治区银南地区吴忠县(1982),银南地区,640000,1,宁夏,银南,
642122,宁夏回族自治区银南地区青铜峡县(1982),银南地区,640000,1,宁夏,银南,
642123,宁夏回族自治区银南地区中卫县(1982)6315,银南地区,640000,1,宁夏,银南,
642125,宁夏回族自治区银南地区灵武县(1982),银南地区,640000,1,宁夏,银南,
642126,宁夏回族自治区银南地区盐池县(1982),银南地区,640000,1,宁夏,银南,
642127,宁夏回族自治区银南地区同心县(1982),银南地区,640000,1,宁夏,银南,
642200,固原市,固原市,640000,1,宁夏,固原,固原市
642221,宁夏回族自治区固原地区固原县(2001年撤销),固原市,640000,1,宁夏,固原,固原市
642222,宁夏回族自治区固原地区海原县(2001年撤销),固原市,640000,1,宁夏,固原,固原市
642223,宁夏回族自治区固原地区西吉县(2001年撤销),固原市,640000,1,宁夏,固原,固原市
642224,宁夏回族自治区固原地区隆德县(2001年撤销),固原市,640000,1,宁夏,固原,固原市
642225,宁夏回族自治区固原地区泾源县(2001年撤销),固原市,640000,1,宁夏,固原,固原市
642226,宁夏回族自治区固原地区彭阳县(2001年撤销),固原市,640000,1,宁夏,固原,固原市
650000,新疆维吾尔自治区,新疆维吾尔自治区,ROOT,1,新疆,新疆,新疆维吾尔自治区
650100,新疆维吾尔自治区乌鲁木齐市,乌鲁木齐市,650000,1,新疆,乌鲁木齐,乌鲁木齐市
650101,新疆维吾尔自治区乌鲁木齐市市辖区,市辖区,650100,1,新疆,乌鲁木齐,市辖区
650102,新疆维吾尔自治区乌鲁木齐市天山区,天山区,650100,1,新疆,乌鲁木齐,天山区
650103,新疆维吾尔自治区乌鲁木齐市沙依巴克区,沙依巴克区,650100,1,新疆,乌鲁木齐,沙依巴克区
650104,新疆维吾尔自治区乌鲁木齐市新市区,新市区,650100,1,新疆,乌鲁木齐,新市区
650105,新疆维吾尔自治区乌鲁木齐市水磨沟区,水磨沟区,650100,1,新疆,乌鲁木齐,水磨沟区
